,DEF,EN,FUNCTN,GEN_REF,GP,NB,NEW,end,start,type
Noreskal_1400230405550,DEF_SPLE,,Other,SPEC,YES,SG,YES,714,707,N
Noreskal_1400231019137,Bare,,Other,SPEC,NO,BareSG,YES,752,747,N
Noreskal_1400231334090,DEF_SPLE,,Other,SPEC,NO,SG,NO,929,922,N
Noreskal_1400231672742,Bare,,Other,SPEC,YES,BareSG,YES,948,941,N
Noreskal_1400231863822,Bare,,Other,SPEC,YES,BareSG,YES,979,972,N
Noreskal_1400232422839,INDEF,,OBJ,GENE,NO,SG,YES,1015,1005,N
Noreskal_1400232525595,INDEF,NO,SUJ,GENE,NO,PL,YES,1057,1055,PR
Noreskal_1400232597461,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,1066,1064,PR
Noreskal_1400232708317,Bare,,Other,GENE,NO,BareSG,NO,1160,1153,N
Noreskal_1400233162408,Bare,,OBJ,GENE,NO,UNK,YES,1384,1370,N
Noreskal_1400233180484,Bare,,Other,GENE,YES,UNK,NO,1384,1377,N
Noreskal_1400592911255,DEF_SPLE,,OBJ,SPEC,NO,UNK,NO,1686,1679,N
Noreskal_1400592916543,DEF_SPLE,,Other,SPEC,YES,SG,NO,1709,1697,N
Noreskal_1400592967318,DEF_SPLE,,SUJ,SPEC,NO,SG,YES,1926,1918,N
Noreskal_1400592971102,DEF_SPLE,,OBJ,SPEC,NO,SG,NO,1978,1968,N
Noreskal_1400592974352,Bare,,OBJ,GENE,NO,BareSG,YES,1992,1989,N
Noreskal_1400592983532,DEF_SPLE,,OBJ,SPEC,NO,SG,NO,2153,2145,N
Noreskal_1400595353891,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1814,1813,PR
Noreskal_1400595541842,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,1998,1997,PR
Noreskal_1400595611754,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2166,2165,PR
Noreskal_1400595613923,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2177,2176,PR
Noreskal_1400595691600,Bare,,OBJ,SPEC,NO,BareSG,YES,2569,2556,N
Noreskal_1400596069336,Bare,,OBJ,GENE,NO,BareSG,YES,2776,2769,N
Noreskal_1400596147135,Bare,,Other,SPEC,YES,BareSG,NO,2925,2915,N
Noreskal_1400596376397,Bare,,OBJ,SPEC,NO,BareSG,YES,2925,2905,N
Noreskal_1400596432385,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,3020,3019,PR
Noreskal_1400596534587,Bare,,OBJ,SPEC,NO,BareSG,NO,3063,3047,N
Noreskal_1400596645851,DEF_SPLE,,Other,SPEC,YES,SG,NO,3063,3053,N
Noreskal_1400596905741,Bare,,OBJ,GENE,YES,BareSG,NO,3179,3160,N
Noreskal_1400597056235,Bare,,Other,GENE,YES,SG,NO,3179,3170,N
Noreskal_1400597105181,Bare,,OBJ,GENE,NO,UNK,YES,3290,3281,N
Noreskal_1400597112735,Bare,,OBJ,GENE,NO,UNK,YES,3299,3293,N
Noreskal_1400597217979,INDEF,,Other,GENE,NO,SG,YES,3330,3326,N
Noreskal_1400597221555,INDEF,,Other,GENE,NO,SG,YES,3337,3334,N
Noreskal_1400597515241,DEF_SPLE,,SUJ,SPEC,NO,PL,NO,3543,3538,N
Noreskal_1400597652179,DEF_SPLE,,Other,SPEC,NO,SG,NO,3691,3679,N
Noreskal_1400597692956,DEF_SPLE,,SUJ,SPEC,NO,SG,NO,3878,3866,N
Noreskal_1400597763253,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,4007,4005,PR
Noreskal_1400597768588,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,4067,4065,PR
Noreskal_1400597902083,Bare,,OBJ,GENE,NO,BareSG,YES,4122,4115,N
Noreskal_1400597952043,Bare,,Other,SPEC,YES,BarePL,YES,4130,4126,N
Noreskal_1400598003452,Bare,,OBJ,GENE,NO,UNK,NO,4372,4365,N
Noreskal_1400598051722,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4426,4425,PR
Noreskal_1400598092962,DEF_SPLE,,Other,SPEC,NO,SG,NO,4456,4449,N
Noreskal_1400598163854,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,4577,4575,PR
Noreskal_1400598187810,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,4598,4596,PR
Noreskal_1400598199923,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,4699,4697,PR
Noreskal_1400598209162,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,4722,4720,PR
Noreskal_1400598241691,DEF_SPLE,,Other,SPEC,NO,SG,NO,4817,4810,N
Noreskal_1400598303076,Bare,,Other,SPEC,YES,BareSG,YES,4899,4892,N
Noreskal_1400598309938,DEF_SPLE,NO,OBJ,SPEC,YES,SG,NO,4899,4898,PR
Noreskal_1400598452846,Bare,,Other,SPEC,YES,BareSG,YES,5003,5000,N
Noreskal_1400598461274,Bare,,OBJ,SPEC,NO,BareSG,YES,5023,5012,N
Noreskal_1400599727488,Bare,,OBJ,SPEC,NO,BareSG,YES,5347,5340,N
Noreskal_1400599797125,INDEF,,OBJ,GENE,NO,SG,YES,5974,5962,N
Noreskal_1400599906479,INDEF,,Other,GENE,NO,SG,YES,6020,5986,N
Noreskal_1400600247240,Bare,,Other,GENE,YES,PL,YES,6009,6005,N
Noreskal_1400600359574,Bare,,OBJ,SPEC,NO,SG,NO,6074,6067,N
