,type,GENRE,NOMBRE,source_type,source_DEF,source_EN,source_FUNCTN,source_GEN_REF,source_GP,source_NB,source_NEW,source_start,source_end,target_type,target_DEF,target_EN,target_FUNCTN,target_GEN_REF,target_GP,target_NB,target_NEW,target_start,target_end,source_id,target_id
Noreskal_1400232235626,ANAPHORE,UNK,YES,N,Bare,,Other,SPEC,YES,Bare,YES,941,948,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,955,956,Noreskal_1400231672742,Noreskal_1401219953417
Noreskal_1400232670083,ANAPHORE,UNK,YES,N,INDEF,,OBJ,GENE,NO,SG,YES,1005,1015,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1064,1066,Noreskal_1400232422839,Noreskal_1400232597461
Noreskal_1400232787679,INDIRECTE,UNK,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1064,1066,N,Bare,,Other,GENE,NO,Bare,NO,1153,1160,Noreskal_1400232597461,Noreskal_1400232708317
Noreskal_1400709859662,DIRECTE,UNK,YES,N,Bare,,OBJ,GENE,NO,Bare,YES,1370,1384,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,1679,1686,Noreskal_1400233162408,Noreskal_1400592911255
Noreskal_1400710068927,ANAPHORE,UNK,YES,N,Bare,,Other,GENE,NO,Bare,NO,1153,1160,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1813,1814,Noreskal_1400232708317,Noreskal_1400595353891
Noreskal_1400745895604,ANAPHORE,UNK,YES,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,1968,1978,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,1997,1998,Noreskal_1400592971102,Noreskal_1400595541842
Noreskal_1400745923841,ANAPHORE,UNK,YES,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,2145,2153,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2165,2166,Noreskal_1400592983532,Noreskal_1400595611754
Noreskal_1400745931641,DIRECTE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2165,2166,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2176,2177,Noreskal_1400595611754,Noreskal_1400595613923
Noreskal_1400746020015,ANAPHORE,,UNK,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2176,2177,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,3019,3020,Noreskal_1400595613923,Noreskal_1400596432385
Noreskal_1400746088125,DIRECTE,UNK,YES,N,Bare,,OBJ,SPEC,NO,Bare,YES,2905,2925,N,Bare,,OBJ,SPEC,NO,Bare,NO,3047,3063,Noreskal_1400596376397,Noreskal_1400596534587
Noreskal_1400746375914,DIRECTE,UNK,YES,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,3679,3691,N,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,3866,3878,Noreskal_1400597652179,Noreskal_1400597692956
Noreskal_1400746529652,ANAPHORE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1813,1814,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4065,4067,Noreskal_1400595353891,Noreskal_1400597768588
Noreskal_1400746737226,ANAPHORE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,YES,4575,4577,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4596,4598,Noreskal_1400598163854,Noreskal_1400598187810
Noreskal_1400746767381,ANAPHORE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4596,4598,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4697,4699,Noreskal_1400598187810,Noreskal_1400598199923
Noreskal_1400746770548,ANAPHORE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4720,4722,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4697,4699,Noreskal_1400598209162,Noreskal_1400598199923
Noreskal_1400746862385,ANAPHORE,UNK,YES,N,Bare,,Other,SPEC,YES,Bare,YES,4839,4845,PR,DEF_SPLE,NO,OBJ,SPEC,YES,SG,NO,4898,4899,Noreskal_1400746813978,Noreskal_1400598309938
Noreskal_1400763223478,INDIRECTE,UNK,YES,PR,Bare,NO,Other,SPEC,NO,SG,NO,3326,3337,N,DEF_SPLE,,SUJ,SPEC,NO,PL,NO,3538,3543,Noreskal_1400762919917,Noreskal_1400597515241
