,type,GENRE,NOMBRE,source_type,source_DEF,source_EN,source_FUNCTN,source_GEN_REF,source_GP,source_NB,source_NEW,source_start,source_end,target_type,target_DEF,target_EN,target_FUNCTN,target_GEN_REF,target_GP,target_NB,target_NEW,target_start,target_end,source_id,target_id
Nsk_1400232235626,ANAPHORE,UNK,YES,N,Bare,,Other,SPEC,YES,Bare,YES,941,948,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,955,956,Nsk_1400231672742,Nsk_1401219953417
Nsk_1400232670083,ANAPHORE,UNK,YES,N,INDEF,,OBJ,GENE,NO,SG,YES,1005,1015,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1064,1066,Nsk_1400232422839,Nsk_1400232597461
Nsk_1400232787679,INDIRECTE,UNK,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1064,1066,N,Bare,,Other,GENE,NO,Bare,NO,1153,1160,Nsk_1400232597461,Nsk_1400232708317
Nsk_1400709859662,DIRECTE,UNK,YES,N,Bare,,OBJ,GENE,NO,Bare,YES,1370,1384,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,1679,1686,Nsk_1400233162408,Nsk_1400592911255
Nsk_1400710068927,ANAPHORE,UNK,YES,N,Bare,,Other,GENE,NO,Bare,NO,1153,1160,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1813,1814,Nsk_1400232708317,Nsk_1400595353891
Nsk_1400745895604,ANAPHORE,UNK,YES,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,1968,1978,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,1997,1998,Nsk_1400592971102,Nsk_1400595541842
Nsk_1400745923841,ANAPHORE,UNK,YES,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,2145,2153,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2165,2166,Nsk_1400592983532,Nsk_1400595611754
Nsk_1400745931641,DIRECTE,,YES,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2165,2166,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2176,2177,Nsk_1400595611754,Nsk_1400595613923
Nsk_1400746020015,ANAPHORE,,UNK,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2176,2177,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,3019,3020,Nsk_1400595613923,Nsk_1400596432385
Nsk_1400746088125,DIRECTE,UNK,YES,N,Bare,,OBJ,SPEC,NO,Bare,YES,2905,2925,N,Bare,,OBJ,SPEC,NO,Bare,NO,3047,3063,Nsk_1400596376397,Nsk_1400596534587
